State,County,City,Name,RegionID,lon,lat
CA,Los Angeles,Santa Monica,Sunset Park,763777,-118.46256557165529,34.01496902859149
CA,Los Angeles,Santa Monica,North of Montana,763779,-118.49881060226717,34.035905520565876
CA,Los Angeles,Agoura Hills,Upper Downtown,761065,-118.75403492138862,34.15782456550393
CA,Los Angeles,Claremont,The Claremont Club,761100,-117.70143839356106,34.116811426637334
CA,Los Angeles,Claremont,Chaparral,761101,-117.70920820770286,34.115241931993054
CA,Los Angeles,Claremont,Via Zurita,761102,-117.71899730109217,34.10875493032404
CA,Los Angeles,Claremont,Old Claremont,761115,-117.72477393342736,34.1042066704147
CA,Los Angeles,Claremont,Pilgrim Place,761116,-117.72483512917194,34.10005557001309
CA,Los Angeles,Claremont,Mount San Antonio,761117,-117.73164411437473,34.097508485182594
CA,Los Angeles,Claremont,West Arrow,761118,-117.72991571935796,34.09216371185015
CA,Los Angeles,Claremont,Arbol Verde,761119,-117.70528211886106,34.09728665378496
CA,Los Angeles,Malibu,Ramirez Canyon,761132,-118.7939801283594,34.029099292513834
CA,Los Angeles,Malibu,Paradise Cove,761133,-118.78207011479952,34.02291445073768
CA,Los Angeles,Agoura Hills,Old Agoura,761251,-118.73987467136048,34.158342918655414
CA,Los Angeles,Agoura Hills,Historic Quarter,761252,-118.7339208326985,34.13605577315217
CA,Los Angeles,Burbank,Burbank Center,761635,-118.31115255346603,34.178523683850464
CA,Los Angeles,Burbank,Rancho,761636,-118.31444940101638,34.16067873022586
CA,Los Angeles,Hawthorne,North Hawthorne,761968,-118.34593534340564,33.92298775197195
CA,Los Angeles,Claremont,The Claremont Colleges and Affiliated Institutions,762220,-117.7116772134111,34.10562674129108
CA,Los Angeles,Claremont,Historic Claremont,762221,-117.71800393619218,34.102744277069576
CA,Los Angeles,Malibu,Point Dume,762235,-118.80498502109415,34.01304706633739
CA,Los Angeles,El Monte,Park El Monte,762603,-118.05553310277243,34.066227685082204
CA,Los Angeles,El Monte,River East,762604,-118.01314799156336,34.07066041384613
CA,Los Angeles,El Monte,Norwood Cherrylee,762605,-118.01569153612421,34.08597696612471
CA,Los Angeles,San Marino,Poet's Quarter,623378,-118.1070872817557,34.13245740978159
